Assembly Accession	Assembly Name	Annotation Name	Annotation Release Date	Organism Name
GCA_004027895.1	AllBul_v1_BIUU			Orientallactaga bullata
GCA_036365145.1	Osib_1.1			Orientallactaga sibirica
GCF_004115215.2	mOrnAna1.pri.v4	NCBI Ornithorhynchus anatinus Annotation Release 105	2021-03-03	Ornithorhynchus anatinus
GCF_000298275.1	OryAfe1.0	NCBI Orycteropus afer afer Annotation Release 101	2021-07-21	Orycteropus afer afer
GCF_009806435.1	UM_NZW_1.0	GCF_009806435.1-RS_2023_02	2023-02-27	Oryctolagus cuniculus
GCF_014754425.2	SCBI_Odam_1.1	NCBI Oryx dammah Annotation Release 100	2021-03-15	Oryx dammah
GCA_003945745.1	UCDavis_Ogaz_1			Oryx gazella
GCA_028564725.2	OtoMan_p1.0			Otocolobus manul
GCA_017311455.1	Otocyon_megalotis_TS305_17_09_2019			Otocyon megalotis megalotis
GCA_963574585.1	PGDP_OtoCra			Otolemur crassicaudatus
GCF_000181295.1	OtoGar3	NCBI Otolemur garnettii Annotation Release 102	2018-01-09	Otolemur garnettii
GCA_006417275.1	ORB			Ourebia ourebi
GCA_021462335.1	ASM2146233v1			Ovibos moschatus
GCA_028583565.1	CAU_O.ammon polii_1.0	Annotation submitted by China Agricultural University	2023-02-10	Ovis ammon polii
GCA_023701675.1	CAU_F1_maternal_1.0	Annotation submitted by China Agricultural University	2022-06-10	Ovis ammon polii x Ovis aries
GCF_016772045.2	ARS-UI_Ramb_v3.0	GCF_016772045.2-RS_2023_10	2023-10-17	Ovis aries
GCA_004026945.1	OviCan_v1_BIUU			Ovis canadensis
GCA_903231385.1	OvNiv1.0			Ovis nivicola lydekkeri
GCA_014523465.1	CAU_Oori_1.0			Ovis orientalis
GCA_028658305.1	Pachyuromys_duprasi_HiC			Pachyuromys duprasi
GCA_030068075.1	ASM3006807v1			Paguma larvata
GCF_029289425.2	NHGRI_mPanPan1-v2.0_pri	GCF_029289425.2-RS_2024_02	2024-02-27	Pan paniscus
GCF_028858775.2	NHGRI_mPanTro3-v2.0_pri	GCF_028858775.2-RS_2024_02	2024-02-27	Pan troglodytes
GCF_018350215.1	P.leo_Ple1_pat1.1	NCBI Panthera leo Annotation Release 100	2021-08-06	Panthera leo
GCF_028533385.1	Panthera_onca_HiC	GCF_028533385.1-RS_2023_10	2023-10-19	Panthera onca
